Action,Brand Domain,Channel,Confident,Conversation ID,Created Date,Id,Input Conversation,Intent to annotate to,Matched Intent,Remarks,actual_domain,Remarks.1,created_date,intent_i_utterances,Intent_1,Intent_1_confidence,Domain_1,Intent_2,Domain_2,Intent_3,Domain_3,Intent_4,Domain_4,Intent_5,Domain_5,intent_0,confidence_0,domain_0,intent_1,confidence_1,domain_1,intent_2,confidence_2,domain_2,intent_3,domain_3,confidence_3,domain_4,confidence_4,intent_4,confidence_5,intent_5,domain_5,confidence_6,intent_6,domain_6,confidence_7,intent_7,domain_7,confidence_8,intent_8,domain_8,confidence_9,domain_9,intent_9,confidence_10,domain_10,intent_10,domain_11,intent_11,confidence_11,intent_12,confidence_12,domain_12,intent_13,confidence_13,domain_13,intent_14,confidence_14,domain_14,intent_15,domain_15,confidence_15,domain_16,intent_16,confidence_16,confidence_17,intent_17,domain_17
Click to Edit,ONEBOT_UNKNOWN,TEAMS,0.39777711,c75efa30-3a05-11eb-bb26-5f720ecb56f9,2020-12-09 18:05:00,270515,trainee leave,leave.leave_guidelines,Unknown,"[{""intent"":""leave.leaves_of_direct_reports"",""confidence"":0.39777711033821106,""domain"":""HIRI""},{""intent"":""people_hub.how_to_approve_leave_in_people_hub"",""confidence"":0.15729796886444092,""domain"":""HIRI""},{""intent"":""leave.leave_encashment"",""confidence"":0.11044691503047943,""domain"":""HIRI""}]",hr,None,2020-12-09,True,leave.leaves_of_direct_reports,0.397777110338211,HIRI,people_hub.how_to_approve_leave_in_people_hub,HIRI,None,None,None,None,None,None,leave.leaves_of_direct_reports,0.39777711033821106,HIRI,people_hub.how_to_approve_leave_in_people_hub,0.15729796886444092,HIRI,leave.leave_encashment,0.11044691503047943,HIRI,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Click to Edit,ONEBOT_UNKNOWN,TEAMS,0.347078949,0c630260-39f8-11eb-ba39-3ba8a977ab52,2020-12-09 17:46:00,270463,ishare eligibility,Shares.Eligibility_Criteria_for_iShares,Unknown,"[{""intent"":""shares.how_does_ishares_work"",""confidence"":0.34707894921302795,""domain"":""HIRI""},{""intent"":""controlroom.lcs_all_dbshshareplan"",""confidence"":0.893390953540802,""domain"":""LCS""},{""intent"":""shares.what_is_ishares"",""confidence"":0.25686535239219666,""domain"":""HIRI""},{""intent"":""shares.eligibility_criteria_for_ishares"",""confidence"":0.16178205609321594,""domain"":""HIRI""},{""intent"":""computer.imac_software_installation"",""confidence"":0.1428615301847458,""domain"":""IRIS""},{""intent"":""computer.adobe"",""confidence"":0.11554983258247375,""domain"":""IRIS""},{""intent"":""printer_scanner.scanner_failure"",""confidence"":0.097758948802948,""domain"":""IRIS""},{""intent"":""cbglegalrga.lcs_sg_luckydraw_rules_for_advertising"",""confidence"":0.04333452507853508,""domain"":""LCS""},{""intent"":""cbglegalrga.lcs_sg_accountant_to_witness_draw"",""confidence"":0.0284099243581295,""domain"":""LCS""}]",hr,None,2020-12-09,True,None,None,None,None,None,None,None,None,None,None,None,shares.how_does_ishares_work,0.34707894921302795,HIRI,controlroom.lcs_all_dbshshareplan,0.893390953540802,LCS,shares.what_is_ishares,0.25686535239219666,HIRI,shares.eligibility_criteria_for_ishares,HIRI,0.16178205609321594,IRIS,0.1428615301847458,computer.imac_software_installation,0.11554983258247375,computer.adobe,IRIS,0.097758948802948,printer_scanner.scanner_failure,IRIS,0.04333452507853508,cbglegalrga.lcs_sg_luckydraw_rules_for_advertising,LCS,0.0284099243581295,cbglegalrga.lcs_sg_accountant_to_witness_draw,LCS,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Click to Edit,ONEBOT_UNKNOWN,TEAMS,0.244094998,b4377110-3a02-11eb-bf75-27bbf670d87b,2020-12-09 17:43:00,270457,public holiday leave,Leave.How_do_I_claim_my_public_holiday_off-in-lieu,Unknown,"[{""intent"":""leave.leave_guidelines"",""confidence"":0.24409499764442444,""domain"":""HIRI""},{""intent"":""microsoft_office_365.add_or_delete_holiday_in_outlook_calendar"",""confidence"":0.9476924538612366,""domain"":""IRIS""},{""intent"":""leave.crediting_of_leave_entitlement_for_following_year"",""confidence"":0.23460516333580017,""domain"":""HIRI""},{""intent"":""leave.can_i_take_leave"",""confidence"":0.22411173582077026,""domain"":""HIRI""},{""intent"":""cbglegalrga.lcs_sg_accountant_to_witness_draw"",""confidence"":0.41327935457229614,""domain"":""LCS""},{""intent"":""ge.lcs_g&e_offer_public_official"",""confidence"":0.07207747548818588,""domain"":""LCS""},{""intent"":""ge.lcs_g&e_travel"",""confidence"":0.054901085793972015,""domain"":""LCS""},{""intent"":""computer.how_to_switch_user_account"",""confidence"":0.01971304602921009,""domain"":""IRIS""},{""intent"":""microsoft_office_365.office_365_public_groups_and_sites"",""confidence"":0.012284617871046066,""domain"":""IRIS""}]",hr,None,2020-12-09,True,None,None,None,None,None,None,None,None,None,None,None,leave.leave_guidelines,0.24409499764442444,HIRI,microsoft_office_365.add_or_delete_holiday_in_outlook_calendar,0.9476924538612366,IRIS,leave.crediting_of_leave_entitlement_for_following_year,0.23460516333580017,HIRI,leave.can_i_take_leave,HIRI,0.22411173582077026,LCS,0.41327935457229614,cbglegalrga.lcs_sg_accountant_to_witness_draw,0.07207747548818588,ge.lcs_g&e_offer_public_official,LCS,0.054901085793972015,ge.lcs_g&e_travel,LCS,0.01971304602921009,computer.how_to_switch_user_account,IRIS,0.012284617871046066,microsoft_office_365.office_365_public_groups_and_sites,IRIS,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Click to Edit,ONEBOT_UNKNOWN,TEAMS,0.306071192,a5cd12c0-39bb-11eb-baf1-0961104bdfe7,2020-12-09 17:34:00,270431,iflex using previous year receipt,iFlex.Guideline_to_claim_from_carried_forward__current_year_iFlex,Unknown,"[{""intent"":""iflex.deadline_for_iflex_claim_submission"",""confidence"":0.3060711920261383,""domain"":""HIRI""},{""intent"":""fcssaml.lcs_sg_advisory_declassification_of_pep"",""confidence"":0.5848187208175659,""domain"":""LCS""},{""intent"":""iflex.how_to_submit_iflex_claim"",""confidence"":0.24934528768062592,""domain"":""HIRI""},{""intent"":""iflex.guideline_to_claim_from_carried_forward__current_year_iflex"",""confidence"":0.1823611557483673,""domain"":""HIRI""},{""intent"":""computer.new_machine"",""confidence"":0.48938170075416565,""domain"":""IRIS""},{""intent"":""bolt.easre_all_bolt_qry_informationonbolt_1_0"",""confidence"":0.21218734979629517,""domain"":""EASRE""},{""intent"":""chaosengineering.easre_all_sre_qry_information_wreckoon_1_0"",""confidence"":0.13295592367649078,""domain"":""EASRE""},{""intent"":""cicd.easre_all_cicd_qry_sonarqube_faqs_1_0"",""confidence"":0.10170318931341171,""domain"":""EASRE""},{""intent"":""outsourcingriskmanagement.gorm_all_qry_sdm_deliverables"",""confidence"":0.1832604557275772,""domain"":""GORM""},{""intent"":""outsourcingriskmanagement.gorm_all_qry_ogrprofile_serviceprovider"",""confidence"":0.17942149937152863,""domain"":""GORM""},{""intent"":""investigations.lcs_investigations_loan_scam_reporting"",""confidence"":0.05851559340953827,""domain"":""LCS""},{""intent"":""intellectualproperty.lcs_ip_use_third_party's_ip"",""confidence"":0.057560261338949203,""domain"":""LCS""},{""intent"":""microsoft_office_365.o365_not_activated"",""confidence"":0.07006244361400604,""domain"":""IRIS""},{""intent"":""outsourcingriskmanagement.gorm_all_qry_sdm_escalation"",""confidence"":0.10031943023204803,""domain"":""GORM""},{""intent"":""computer.machine_crash"",""confidence"":0.035515230149030685,""domain"":""IRIS""}]",hr,None,2020-12-09,True,None,None,None,None,None,None,None,None,None,None,None,iflex.deadline_for_iflex_claim_submission,0.3060711920261383,HIRI,fcssaml.lcs_sg_advisory_declassification_of_pep,0.5848187208175659,LCS,iflex.how_to_submit_iflex_claim,0.24934528768062592,HIRI,iflex.guideline_to_claim_from_carried_forward__current_year_iflex,HIRI,0.1823611557483673,IRIS,0.48938170075416565,computer.new_machine,0.21218734979629517,bolt.easre_all_bolt_qry_informationonbolt_1_0,EASRE,0.13295592367649078,chaosengineering.easre_all_sre_qry_information_wreckoon_1_0,EASRE,0.10170318931341171,cicd.easre_all_cicd_qry_sonarqube_faqs_1_0,EASRE,0.1832604557275772,outsourcingriskmanagement.gorm_all_qry_sdm_deliverables,GORM,0.17942149937152863,GORM,outsourcingriskmanagement.gorm_all_qry_ogrprofile_serviceprovider,0.05851559340953827,LCS,investigations.lcs_investigations_loan_scam_reporting,LCS,intellectualproperty.lcs_ip_use_third_party's_ip,0.057560261338949203,microsoft_office_365.o365_not_activated,0.07006244361400604,IRIS,outsourcingriskmanagement.gorm_all_qry_sdm_escalation,0.10031943023204803,GORM,computer.machine_crash,0.035515230149030685,IRIS,None,None,None,None,None,None,None,None,None
Click to Edit,ONEBOT_UNKNOWN,TEAMS,0.394229442,a5cd12c0-39bb-11eb-baf1-0961104bdfe7,2020-12-09 17:34:00,270430,can i claim iflex using receipt from previous year?,iFlex.Guideline_to_claim_from_carried_forward__current_year_iFlex,Unknown,"[{""intent"":""iflex.deadline_for_iflex_claim_submission"",""confidence"":0.3942294418811798,""domain"":""HIRI""},{""intent"":""iflex.how_to_submit_iflex_claim"",""confidence"":0.23110869526863098,""domain"":""HIRI""},{""intent"":""iflex.guideline_to_claim_from_carried_forward__current_year_iflex"",""confidence"":0.1598207950592041,""domain"":""HIRI""},{""intent"":""computer.new_machine"",""confidence"":0.23704296350479126,""domain"":""IRIS""},{""intent"":""outsourcingriskmanagement.gorm_all_qry_ogrprofile_serviceprovider"",""confidence"":0.6674938201904297,""domain"":""GORM""},{""intent"":""fcssaml.lcs_sg_advisory_declassification_of_pep"",""confidence"":0.15997956693172455,""domain"":""LCS""},{""intent"":""bir.easre_all_bir_qry_information_1_0"",""confidence"":0.19477726519107819,""domain"":""EASRE""},{""intent"":""investigations.lcs_investigations_loan_scam_reporting"",""confidence"":0.09857910871505737,""domain"":""LCS""},{""intent"":""bolt.easre_all_checkstatus_qry_boltrequestraagentdeployment_1_0"",""confidence"":0.12480626255273819,""domain"":""EASRE""},{""intent"":""cicd.easre_all_cicd_qry_onboarding_cicd_1_0"",""confidence"":0.12208518385887146,""domain"":""EASRE""},{""intent"":""ge.lcs_g&e_travel"",""confidence"":0.07867126166820526,""domain"":""LCS""},{""intent"":""computer.reformat_or_relocation_of_machine"",""confidence"":0.09246345609426498,""domain"":""IRIS""},{""intent"":""microsoft_office_365.ms_o365_license"",""confidence"":0.06753381341695786,""domain"":""IRIS""},{""intent"":""outsourcingriskmanagement.gorm_all_qry_sdm_deliverables"",""confidence"":0.0881384089589119,""domain"":""GORM""},{""intent"":""outsourcingriskmanagement.gorm_all_qry_sdm_escalation"",""confidence"":0.060126613825559616,""domain"":""GORM""}]",hr,None,2020-12-09,True,None,None,None,None,None,None,None,None,None,None,None,iflex.deadline_for_iflex_claim_submission,0.3942294418811798,HIRI,iflex.how_to_submit_iflex_claim,0.23110869526863098,HIRI,iflex.guideline_to_claim_from_carried_forward__current_year_iflex,0.1598207950592041,HIRI,computer.new_machine,IRIS,0.23704296350479126,GORM,0.6674938201904297,outsourcingriskmanagement.gorm_all_qry_ogrprofile_serviceprovider,0.15997956693172455,fcssaml.lcs_sg_advisory_declassification_of_pep,LCS,0.19477726519107819,bir.easre_all_bir_qry_information_1_0,EASRE,0.09857910871505737,investigations.lcs_investigations_loan_scam_reporting,LCS,0.12480626255273819,bolt.easre_all_checkstatus_qry_boltrequestraagentdeployment_1_0,EASRE,0.12208518385887146,EASRE,cicd.easre_all_cicd_qry_onboarding_cicd_1_0,0.07867126166820526,LCS,ge.lcs_g&e_travel,IRIS,computer.reformat_or_relocation_of_machine,0.09246345609426498,microsoft_office_365.ms_o365_license,0.06753381341695786,IRIS,outsourcingriskmanagement.gorm_all_qry_sdm_deliverables,0.0881384089589119,GORM,outsourcingriskmanagement.gorm_all_qry_sdm_escalation,0.060126613825559616,GORM,None,None,None,None,None,None,None,None,None
Click to Edit,ONEBOT_UNKNOWN,TEAMS,0.22675775,f05cc010-39bb-11eb-9ecb-a183a429e3ec,2020-12-09 16:35:00,270262,Can I customise my Worklets in Homepage?,People_Hub.Can_I_change_my_Worklets_in_People_Hub_Homepage,Unknown,"[{""intent"":""computer.photo_viewer"",""confidence"":0.22675774991512299,""domain"":""IRIS""},{""intent"":""computer.file_extension_jpg_jpeg_png"",""confidence"":0.21496474742889404,""domain"":""IRIS""},{""intent"":""computer.battery_options"",""confidence"":0.15616820752620697,""domain"":""IRIS""},{""intent"":""cicd.easre_all_cicd_qry_onboarding_cicd_1_0"",""confidence"":0.2948783040046692,""domain"":""EASRE""},{""intent"":""people_hub.how_to_view_my_payslip_in_people_hub"",""confidence"":0.17822381854057312,""domain"":""HIRI""},{""intent"":""ge.lcs_g&e_prohibited"",""confidence"":0.14424879848957062,""domain"":""LCS""},{""intent"":""payroll.how_to_generate_my_payslip"",""confidence"":0.11688782274723053,""domain"":""HIRI""},{""intent"":""bolt.easre_all_bolt_qry_informationonbolt_1_0"",""confidence"":0.11194989085197449,""domain"":""EASRE""},{""intent"":""people_hub.how_to_view_org_chart_in_people_hub"",""confidence"":0.10992560535669327,""domain"":""HIRI""},{""intent"":""cicd.easre_all_cicd_qry_jira_confluence_1_0"",""confidence"":0.08738278597593307,""domain"":""EASRE""},{""intent"":""fcssaml.lcs_sg_advisory_fcis_record_details "",""confidence"":0.07631143927574158,""domain"":""LCS""},{""intent"":""investigations.lcs_investigations_common_misconception"",""confidence"":0.06103433668613434,""domain"":""LCS""}]",hr,None,2020-12-09,False,None,None,None,None,None,None,None,None,None,None,None,computer.photo_viewer,0.22675774991512299,IRIS,computer.file_extension_jpg_jpeg_png,0.21496474742889404,IRIS,computer.battery_options,0.15616820752620697,IRIS,cicd.easre_all_cicd_qry_onboarding_cicd_1_0,EASRE,0.2948783040046692,HIRI,0.17822381854057312,people_hub.how_to_view_my_payslip_in_people_hub,0.14424879848957062,ge.lcs_g&e_prohibited,LCS,0.11688782274723053,payroll.how_to_generate_my_payslip,HIRI,0.11194989085197449,bolt.easre_all_bolt_qry_informationonbolt_1_0,EASRE,0.10992560535669327,people_hub.how_to_view_org_chart_in_people_hub,HIRI,0.08738278597593307,EASRE,cicd.easre_all_cicd_qry_jira_confluence_1_0,0.07631143927574158,LCS,fcssaml.lcs_sg_advisory_fcis_record_details ,LCS,investigations.lcs_investigations_common_misconception,0.06103433668613434,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Click to Edit,ONEBOT_UNKNOWN,TEAMS,0.294355869,f05cc010-39bb-11eb-9ecb-a183a429e3ec,2020-12-09 16:34:00,270259,what is the use of notifications in people hub,People_Hub.What_is_the_use_of_Notifications_in_People_Hub,Unknown,"[{""intent"":""people_hub.how_to_view_org_chart_in_people_hub"",""confidence"":0.2943558692932129,""domain"":""HIRI""},{""intent"":""people_hub.how_to_create_job_requisition_in_people_hub"",""confidence"":0.14002062380313873,""domain"":""HIRI""},{""intent"":""computer.adobe"",""confidence"":0.19534847140312195,""domain"":""IRIS""},{""intent"":""investigations.lcs_investigations_lucky_draw_scam_reporting"",""confidence"":0.17918115854263306,""domain"":""LCS""},{""intent"":""microsoft_office_365.how_to_use_excel"",""confidence"":0.17796628177165985,""domain"":""IRIS""},{""intent"":""computer.what_is_asset_tag"",""confidence"":0.1747511476278305,""domain"":""IRIS""},{""intent"":""people_hub.dbs_people_hub"",""confidence"":0.08362269401550293,""domain"":""HIRI""},{""intent"":""fcssaml.lcs_sg_advisory_fcis_record_details "",""confidence"":0.14045727252960205,""domain"":""LCS""},{""intent"":""cbglegalrga.lcs_sg_accountant_to_witness_draw"",""confidence"":0.10959409177303314,""domain"":""LCS""},{""intent"":""outsourcingriskmanagement.gorm_all_qry_ogrprofile_description"",""confidence"":0.39749521017074585,""domain"":""GORM""},{""intent"":""bolt.easre_all_bolt_qry_informationonbolt_1_0"",""confidence"":0.13589107990264893,""domain"":""EASRE""},{""intent"":""cicd.easre_all_cicd_qry_sonarqube_faqs_1_0"",""confidence"":0.10657621175050735,""domain"":""EASRE""},{""intent"":""outsourcingriskmanagement.gorm_all_qry_sdm_deliverables"",""confidence"":0.18895353376865387,""domain"":""GORM""},{""intent"":""bolt.easre_all_checkstatus_qry_boltrequestraagentdeployment_1_0"",""confidence"":0.08611097931861877,""domain"":""EASRE""},{""intent"":""outsourcingriskmanagement.gorm_all_qry_ogrprofile_audit"",""confidence"":0.12556520104408264,""domain"":""GORM""}]",hr,None,2020-12-09,False,None,None,None,None,None,None,None,None,None,None,None,people_hub.how_to_view_org_chart_in_people_hub,0.2943558692932129,HIRI,people_hub.how_to_create_job_requisition_in_people_hub,0.14002062380313873,HIRI,computer.adobe,0.19534847140312195,IRIS,investigations.lcs_investigations_lucky_draw_scam_reporting,LCS,0.17918115854263306,IRIS,0.17796628177165985,microsoft_office_365.how_to_use_excel,0.1747511476278305,computer.what_is_asset_tag,IRIS,0.08362269401550293,people_hub.dbs_people_hub,HIRI,0.14045727252960205,fcssaml.lcs_sg_advisory_fcis_record_details ,LCS,0.10959409177303314,cbglegalrga.lcs_sg_accountant_to_witness_draw,LCS,0.39749521017074585,GORM,outsourcingriskmanagement.gorm_all_qry_ogrprofile_description,0.13589107990264893,EASRE,bolt.easre_all_bolt_qry_informationonbolt_1_0,EASRE,cicd.easre_all_cicd_qry_sonarqube_faqs_1_0,0.10657621175050735,outsourcingriskmanagement.gorm_all_qry_sdm_deliverables,0.18895353376865387,GORM,bolt.easre_all_checkstatus_qry_boltrequestraagentdeployment_1_0,0.08611097931861877,EASRE,outsourcingriskmanagement.gorm_all_qry_ogrprofile_audit,0.12556520104408264,GORM,None,None,None,None,None,None,None,None,None
Click to Edit,ONEBOT_UNKNOWN,TEAMS,0.331474185,f05cc010-39bb-11eb-9ecb-a183a429e3ec,2020-12-09 15:26:00,270075,How to Save Jobs in DBS Recruiting Hub,internal_mobility.how_to_save_jobs_in_dbs_recruiting_hub,Unknown,"[{""intent"":""outsourcingriskmanagement.gorm_all_qry_ogrprofile_description"",""confidence"":0.3314741849899292,""domain"":""GSMC""},{""intent"":""people_hub.how_to_update_contact_info_in_people_hub"",""confidence"":0.24736356735229492,""domain"":""HIRI""},{""intent"":""computer.saving_pdf_file"",""confidence"":0.3592323660850525,""domain"":""IRIS""},{""intent"":""performance_and_development.how_to_add_or_edit_my_goals"",""confidence"":0.19580692052841187,""domain"":""HIRI""},{""intent"":""outsourcingriskmanagement.gorm_all_qry_sdm_deliverables"",""confidence"":0.18775762617588043,""domain"":""GSMC""},{""intent"":""intellectualproperty.lcs_ip_infringement_and_enforcement"",""confidence"":0.3371029794216156,""domain"":""LCS""},{""intent"":""microsoft_office_365.create_shared_mailbox"",""confidence"":0.18518760800361633,""domain"":""IRIS""},{""intent"":""outsourcingriskmanagement.gorm_all_qry_ogr_ki"",""confidence"":0.10694481432437897,""domain"":""GSMC""},{""intent"":""microsoft_office_365.uploading_files_to_onedrive"",""confidence"":0.15891315042972565,""domain"":""IRIS""},{""intent"":""staff_info_update.update_contact_info_and_address"",""confidence"":0.07706158608198166,""domain"":""HIRI""},{""intent"":""cicd.easre_all_cicd_qry_dependancy_issues_1_0"",""confidence"":0.16016609966754913,""domain"":""EASRE""},{""intent"":""ge.lcs_g&e_amount_limit"",""confidence"":0.08875210583209991,""domain"":""LCS""},{""intent"":""dpo.lcs_sg_dpo_contact_information"",""confidence"":0.08197631686925888,""domain"":""LCS""},{""intent"":""bolt.easre_all_bolt_qry_informationonbolt_1_0"",""confidence"":0.11954788118600845,""domain"":""EASRE""},{""intent"":""cicd.easre_all_cicd_qry_sonarqube_faqs_1_0"",""confidence"":0.11281406134366989,""domain"":""EASRE""}]",hr,None,2020-12-09,False,None,None,None,None,None,None,None,None,None,None,None,outsourcingriskmanagement.gorm_all_qry_ogrprofile_description,0.3314741849899292,GSMC,people_hub.how_to_update_contact_info_in_people_hub,0.24736356735229492,HIRI,computer.saving_pdf_file,0.3592323660850525,IRIS,performance_and_development.how_to_add_or_edit_my_goals,HIRI,0.19580692052841187,GSMC,0.18775762617588043,outsourcingriskmanagement.gorm_all_qry_sdm_deliverables,0.3371029794216156,intellectualproperty.lcs_ip_infringement_and_enforcement,LCS,0.18518760800361633,microsoft_office_365.create_shared_mailbox,IRIS,0.10694481432437897,outsourcingriskmanagement.gorm_all_qry_ogr_ki,GSMC,0.15891315042972565,microsoft_office_365.uploading_files_to_onedrive,IRIS,0.07706158608198166,HIRI,staff_info_update.update_contact_info_and_address,0.16016609966754913,EASRE,cicd.easre_all_cicd_qry_dependancy_issues_1_0,LCS,ge.lcs_g&e_amount_limit,0.08875210583209991,dpo.lcs_sg_dpo_contact_information,0.08197631686925888,LCS,bolt.easre_all_bolt_qry_informationonbolt_1_0,0.11954788118600845,EASRE,cicd.easre_all_cicd_qry_sonarqube_faqs_1_0,0.11281406134366989,EASRE,None,None,None,None,None,None,None,None,None
Click to Edit,ONEBOT_UNKNOWN,TEAMS,0.252014607,f05cc010-39bb-11eb-9ecb-a183a429e3ec,2020-12-09 15:25:00,270071,what is flight risk,HIPO_Management.What_is_Flight_Risk,Unknown,"[{""intent"":""shares.ishares_and_risk"",""confidence"":0.2520146071910858,""domain"":""HIRI""},{""intent"":""hipo_management.what_happens_to_high_potentials"",""confidence"":0.20001220703125,""domain"":""HIRI""},{""intent"":""standard_letter_request.can_i_request_dbs_to_generate_letters_to_performance_motors_for_me"",""confidence"":0.09971392899751663,""domain"":""HIRI""},{""intent"":""applications_systems.finding_url_or_link"",""confidence"":0.3718527555465698,""domain"":""IRIS""},{""intent"":""fcssaml.lcs_sg_advisory_group_cdd_standard"",""confidence"":0.2068013697862625,""domain"":""LCS""},{""intent"":""printer_scanner.scanner_failure"",""confidence"":0.16571001708507538,""domain"":""IRIS""},{""intent"":""access_management.what_is_1bank_id"",""confidence"":0.13434627652168274,""domain"":""IRIS""},{""intent"":""fcssaml.lcs_sg_advisory_identification_and_verification_requirements "",""confidence"":0.09798522293567657,""domain"":""LCS""},{""intent"":""fcssaml.lcs_sg_advisory_handling_of_rfi_from_agent_bank"",""confidence"":0.0868520438671112,""domain"":""LCS""}]",hr,None,2020-12-09,False,None,None,None,None,None,None,None,None,None,None,None,shares.ishares_and_risk,0.2520146071910858,HIRI,hipo_management.what_happens_to_high_potentials,0.20001220703125,HIRI,standard_letter_request.can_i_request_dbs_to_generate_letters_to_performance_motors_for_me,0.09971392899751663,HIRI,applications_systems.finding_url_or_link,IRIS,0.3718527555465698,LCS,0.2068013697862625,fcssaml.lcs_sg_advisory_group_cdd_standard,0.16571001708507538,printer_scanner.scanner_failure,IRIS,0.13434627652168274,access_management.what_is_1bank_id,IRIS,0.09798522293567657,fcssaml.lcs_sg_advisory_identification_and_verification_requirements ,LCS,0.0868520438671112,fcssaml.lcs_sg_advisory_handling_of_rfi_from_agent_bank,LCS,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Click to Edit,ONEBOT_UNKNOWN,TEAMS,0.293674469,7838c911-39ea-11eb-b592-8539965a5298,2020-12-09 14:48:00,269944,want to apply iflex,iFlex.How_to_submit_iFlex_claim,Unknown,"[{""intent"":""iflex.can_i_know_what_is_my_iflex_entitlement"",""confidence"":0.2936744689941406,""domain"":""HIRI""},{""intent"":""iflex.how_to_submit_iflex_claim"",""confidence"":0.17437434196472168,""domain"":""HIRI""},{""intent"":""iflex.what_can_be_claimed_against_iflex"",""confidence"":0.16792668402194977,""domain"":""HIRI""},{""intent"":""outsourcingriskmanagement.gorm_all_qry_sdm_waiverexemption"",""confidence"":0.5801302790641785,""domain"":""GORM""},{""intent"":""intellectualproperty.lcs_ip_trademark_application_process"",""confidence"":0.27082881331443787,""domain"":""LCS""},{""intent"":""change_management.change_management"",""confidence"":0.2502979338169098,""domain"":""IRIS""},{""intent"":""dpo.lcs_sg_dpo_pdpa"",""confidence"":0.12161795049905777,""domain"":""LCS""},{""intent"":""general_enquiry.procurement_enquiries"",""confidence"":0.12089367210865021,""domain"":""IRIS""},{""intent"":""applications_systems.install_and_setup_guide"",""confidence"":0.08740906417369843,""domain"":""IRIS""},{""intent"":""bolt.easre_all_bolt_qry_informationonbolt_1_0"",""confidence"":0.15419264137744904,""domain"":""EASRE""},{""intent"":""cicd.easre_all_cicd_qry_sonarqube_faqs_1_0"",""confidence"":0.15239648520946503,""domain"":""EASRE""},{""intent"":""controlroom.lcs_all_pip_preclearance"",""confidence"":0.07537063956260681,""domain"":""LCS""},{""intent"":""chaosengineering.easre_all_sre_qry_information_wreckoon_1_0"",""confidence"":0.10415494441986084,""domain"":""EASRE""},{""intent"":""outsourcingriskmanagement.gorm_all_qry_ogr_ki"",""confidence"":0.09953957051038742,""domain"":""GORM""},{""intent"":""outsourcingriskmanagement.gorm_all_qry_igcontract_renewal"",""confidence"":0.050723280757665634,""domain"":""GORM""}]",hr,None,2020-12-09,True,None,None,None,None,None,None,None,None,None,None,None,iflex.can_i_know_what_is_my_iflex_entitlement,0.2936744689941406,HIRI,iflex.how_to_submit_iflex_claim,0.17437434196472168,HIRI,iflex.what_can_be_claimed_against_iflex,0.16792668402194977,HIRI,outsourcingriskmanagement.gorm_all_qry_sdm_waiverexemption,GORM,0.5801302790641785,LCS,0.27082881331443787,intellectualproperty.lcs_ip_trademark_application_process,0.2502979338169098,change_management.change_management,IRIS,0.12161795049905777,dpo.lcs_sg_dpo_pdpa,LCS,0.12089367210865021,general_enquiry.procurement_enquiries,IRIS,0.08740906417369843,applications_systems.install_and_setup_guide,IRIS,0.15419264137744904,EASRE,bolt.easre_all_bolt_qry_informationonbolt_1_0,0.15239648520946503,EASRE,cicd.easre_all_cicd_qry_sonarqube_faqs_1_0,LCS,controlroom.lcs_all_pip_preclearance,0.07537063956260681,chaosengineering.easre_all_sre_qry_information_wreckoon_1_0,0.10415494441986084,EASRE,outsourcingriskmanagement.gorm_all_qry_ogr_ki,0.09953957051038742,GORM,outsourcingriskmanagement.gorm_all_qry_igcontract_renewal,0.050723280757665634,GORM,None,None,None,None,None,None,None,None,None
