,utterance,intent,intent1,pred_idx,pred_values,top_p1,top_p2,top_p3,top_class1,top_class2,top_class3,predictions1,predictions2,predictions3
0,staff overseas rate,offboarding.can_i_offset_my_notice_period,194,30,cwms.work_location_tagging_for_cwf,0.20754237473011017,0.036081187427043915,0.033742111176252365,30,97,24,cwms.work_location_tagging_for_cwf,internal_mobility.internal_mobility,cwms.cwms_new_request
1,overseas fund transfer for staff,internal_mobility.internal_mobility_application_while_serving_notice,99,98,internal_mobility.internal_mobility_application_process,0.20468352735042572,0.13647688925266266,0.08338715881109238,98,97,100,internal_mobility.internal_mobility_application_process,internal_mobility.internal_mobility,internal_mobility.internal_mobility_eligibility_criteria
2,carry over leave,leave.can_i_carry_forward_my_leave,139,139,leave.can_i_carry_forward_my_leave,0.917388916015625,0.010010865516960621,0.009099259041249752,139,329,137,leave.can_i_carry_forward_my_leave,people_hub.what_is_my_leave_balance,leave.can_i_apply_back_dated_leave
3,dbs share,shares.how_can_i_find_out_the_price_of_a_dbsh_share,394,394,shares.how_can_i_find_out_the_price_of_a_dbsh_share,0.6024040579795837,0.03789209946990013,0.02268895134329796,394,407,391,shares.how_can_i_find_out_the_price_of_a_dbsh_share,shares.will_dbs_match_my_personal_dbsh_shares,shares.crediting_of_contribution_shares
4,mobility,internal_mobility.internal_mobility,97,97,internal_mobility.internal_mobility,0.4063761234283447,0.1444007009267807,0.0885787233710289,97,98,100,internal_mobility.internal_mobility,internal_mobility.internal_mobility_application_process,internal_mobility.internal_mobility_eligibility_criteria
5,outsource risk,performance_and_development.what_is_management_of_risk__compliance_and_control_culture,383,383,performance_and_development.what_is_management_of_risk__compliance_and_control_culture,0.4564046561717987,0.019441619515419006,0.011986861936748028,383,339,351,performance_and_development.what_is_management_of_risk__compliance_and_control_culture,performance_and_development.cascading_of_goals_by_manager,performance_and_development.how_to_align_my_goals_to_the_balanced_scorecard
6,pdp,performance_and_development.goal_setting_process,344,344,performance_and_development.goal_setting_process,0.5679481029510498,0.11377951502799988,0.038432806730270386,344,381,339,performance_and_development.goal_setting_process,performance_and_development.what_constitutes_a_good_goal,performance_and_development.cascading_of_goals_by_manager
7,how to submit management corporation,medical.medical_certificate,176,290,people_hub.dbs_people_hub,0.06170852854847908,0.04699159786105156,0.03537052497267723,290,210,209,people_hub.dbs_people_hub,onboarding.login_access_to_taleo,onboarding.letter_of_appointment
8,need help on i share,shares.what_is_ishares,406,133,itq_and_wetq.who_can_access_itq_wetq_portal,0.1577017903327942,0.04375601187348366,0.03857364133000374,133,398,290,itq_and_wetq.who_can_access_itq_wetq_portal,shares.how_to_join_ishares,people_hub.dbs_people_hub
9,enroll i share,shares.how_to_join_ishares,398,398,shares.how_to_join_ishares,0.4631327688694,0.07404796779155731,0.04922841116786003,398,393,406,shares.how_to_join_ishares,shares.eligibility_criteria_for_ishares,shares.what_is_ishares
