,utterance,pred_idx,pred_values
0,staff overseas rate,150,leave.leave_guidelines
1,overseas fund transfer staff,150,leave.leave_guidelines
2,carry leave,150,leave.leave_guidelines
3,db share,150,leave.leave_guidelines
4,mobility,150,leave.leave_guidelines
5,outsourcing risk,150,leave.leave_guidelines
6,pdp,150,leave.leave_guidelines
7,submit mc,150,leave.leave_guidelines
8,need help share,150,leave.leave_guidelines
9,enroll share,150,leave.leave_guidelines
10,share portal,150,leave.leave_guidelines
11,reorganisation,150,leave.leave_guidelines
12,self unlock password,150,leave.leave_guidelines
13,hr circular,150,leave.leave_guidelines
14,buy non db share,150,leave.leave_guidelines
15,buy outside share,150,leave.leave_guidelines
16,buy share,150,leave.leave_guidelines
17,sell stock,150,leave.leave_guidelines
18,cancel rental application,150,leave.leave_guidelines
19,withdraw rental application,150,leave.leave_guidelines
20,withdraw rental reimbursement scheme,150,leave.leave_guidelines
21,would like terminate rental application,150,leave.leave_guidelines
22,chinese new year lieu,150,leave.leave_guidelines
23,withdraw rental reimbursement scheme,150,leave.leave_guidelines
24,term employment new promotes,150,leave.leave_guidelines
25,staff corporate card,150,leave.leave_guidelines
26,job referral,150,leave.leave_guidelines
27,job referral,150,leave.leave_guidelines
28,cm exam claim,150,leave.leave_guidelines
29,submit claim exam paper,150,leave.leave_guidelines
30,bonus payslip,150,leave.leave_guidelines
31,login storage,150,leave.leave_guidelines
32,endash leave,150,leave.leave_guidelines
33,dash share take,150,leave.leave_guidelines
34,compensation,150,leave.leave_guidelines
35,given 200 share compensation get share,150,leave.leave_guidelines
36,given 200 share bank,150,leave.leave_guidelines
37,able take share given bank,150,leave.leave_guidelines
38,es,150,leave.leave_guidelines
39,aw1,150,leave.leave_guidelines
40,forgot 1bank pw,150,leave.leave_guidelines
41,policy server detected,150,leave.leave_guidelines
42,pdp goal setting,150,leave.leave_guidelines
43,db email,150,leave.leave_guidelines
44,db staff loan,150,leave.leave_guidelines
45,change line manager,150,leave.leave_guidelines
46,dividend invested share,150,leave.leave_guidelines
47,dividend invested share,150,leave.leave_guidelines
48,hospitalization leave consider block leave,150,leave.leave_guidelines
49,goal setting,150,leave.leave_guidelines
50,pip performance improvement plan,150,leave.leave_guidelines
51,performance improvement plan pip,150,leave.leave_guidelines
52,performance improvement plan,150,leave.leave_guidelines
53,te policy,150,leave.leave_guidelines
54,staff loan mortgage,150,leave.leave_guidelines
55,db career,150,leave.leave_guidelines
56,get hansard,150,leave.leave_guidelines
57,download tax form,150,leave.leave_guidelines
58,pending request asm,150,leave.leave_guidelines
59,cf staff termination,150,leave.leave_guidelines
60,vp transport allowance,150,leave.leave_guidelines
61,mi reporting,150,leave.leave_guidelines
62,httpsinstallappcentermsusersjacques0xgtappssitideal,150,leave.leave_guidelines
63,increment letter,150,leave.leave_guidelines
64,staff benefit,150,leave.leave_guidelines
65,e loan,150,leave.leave_guidelines
66,ski provisioning failed previously proceeding provisioning page,150,leave.leave_guidelines
67,find hr,150,leave.leave_guidelines
68,credit card limit increase,150,leave.leave_guidelines
69,aq mb active customer,150,leave.leave_guidelines
70,get preferred rate home loan,150,leave.leave_guidelines
71,back dated rental reimbursement,150,leave.leave_guidelines
72,rental payslip,150,leave.leave_guidelines
73,rental retro,150,leave.leave_guidelines
74,sell dash share china,150,leave.leave_guidelines
75,encampment leave,150,leave.leave_guidelines
76,sell db share china,150,leave.leave_guidelines
77,wet minimum point,150,leave.leave_guidelines
78,ki,150,leave.leave_guidelines
79,bonus payout,150,leave.leave_guidelines
80,compliancerequirements,150,leave.leave_guidelines
81,teamtrainingmanager,150,leave.leave_guidelines
82,apply annual leave,150,leave.leave_guidelines
83,bonus senior officer,150,leave.leave_guidelines
84,bonus senior office,150,leave.leave_guidelines
85,im stressed oabot,150,leave.leave_guidelines
86,bonus credited,150,leave.leave_guidelines
87,add photo,150,leave.leave_guidelines
88,bonus payment,150,leave.leave_guidelines
89,check contract started detail,150,leave.leave_guidelines
90,payroll run,150,leave.leave_guidelines
91,would like get hr apply pca,150,leave.leave_guidelines
92,vaccination programme,150,leave.leave_guidelines
93,update email display name,150,leave.leave_guidelines
94,update profile information,150,leave.leave_guidelines
95,leave encampment policy,150,leave.leave_guidelines
96,traditional chinese medicine,150,leave.leave_guidelines
97,tcm mc,150,leave.leave_guidelines
98,mc tcm accepted,150,leave.leave_guidelines
99,org chart,150,leave.leave_guidelines
100,appraisal,150,leave.leave_guidelines
101,update 2020 bonus,150,leave.leave_guidelines
102,cf champion,150,leave.leave_guidelines
103,contract staff po,150,leave.leave_guidelines
104,office opening hyderabad,150,leave.leave_guidelines
105,opening,150,leave.leave_guidelines
106,within,150,leave.leave_guidelines
107,hr circular carry forward annual leave,150,leave.leave_guidelines
108,head big,150,leave.leave_guidelines
109,staff home loan,150,leave.leave_guidelines
110,need fill timeshift,150,leave.leave_guidelines
111,pt,150,leave.leave_guidelines
112,system access,150,leave.leave_guidelines
113,deviation form,150,leave.leave_guidelines
114,corporate card,150,leave.leave_guidelines
115,new hire complete pd,150,leave.leave_guidelines
116,manager long leave approval pd,150,leave.leave_guidelines
117,annual leave carry forward 2021,150,leave.leave_guidelines
118,view submitted pd,150,leave.leave_guidelines
119,approve goal,150,leave.leave_guidelines
120,balanced scorecard,150,leave.leave_guidelines
121,goal setting process,150,leave.leave_guidelines
122,go decline,150,leave.leave_guidelines
123,report phishing,150,leave.leave_guidelines
124,much portable medical credit,150,leave.leave_guidelines
125,bonus,150,leave.leave_guidelines
126,httpsbankundergroundcouk20180301peertopeerscaleandscalability,150,leave.leave_guidelines
127,mortgage,150,leave.leave_guidelines
128,db pride value,150,leave.leave_guidelines
129,download payslip,150,leave.leave_guidelines
130,bonus credited,150,leave.leave_guidelines
131,please stop,150,leave.leave_guidelines
132,would love oabot stopped,150,leave.leave_guidelines
133,flex claim,150,leave.leave_guidelines
134,oabot team,150,leave.leave_guidelines
135,id change,150,leave.leave_guidelines
