utterance,intent,intent1
unable access profile db career download copy offer letter help share user credential please,onboarding.letter_of_appointment,209
received notice new team member,onboarding.arrangements_for_new_hire_prior_to_onboarding,203
500 flex popup,iflex.what_can_be_claimed_against_iflex,75
1 lot db share,shares.how_can_i_find_out_the_price_of_a_dbsh_share,395
11,internal_mobility.required_years_of_service_for_internal_mobility,103
13 month bonus,payroll.annual_wage_supplement,217
13th month payment,payroll.annual_wage_supplement,217
14 december leave,leave.leaves_of_direct_reports,151
1bank id,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
1bank id username 1bank password password saga login,training.accessing_dbs_learning_hub,444
1banked application link cf new joined,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
1banked application process cf,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
1banked new staff kelly contract,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
1banked creation,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
2 staff account tag,iprivileges.what_are_the_preferential_interest_rates_for_employees,124
22,internal_mobility.required_years_of_service_for_internal_mobility,103
22 rotation,internal_mobility.required_years_of_service_for_internal_mobility,103
20 year service recognition,leave.leave_guidelines,150
2019 performance rating,performance_and_development.where_can_we_view_our_past_years_goals,386
2020 or timeline,performance_and_development.is_on-going_review_compulsory,366
2020 performance review,performance_and_development.performance_and_development,373
2020 yer cycle,performance_and_development.what_is_pd_year-end_review,385
2020 holiday,leave.list_of_public_holidays,152
2020 holiday,leave.list_of_public_holidays,152
2021 increment,escalation.escalation_cases,32
2021 holiday calendar,leave.list_of_public_holidays,152
2021 holiday list,leave.list_of_public_holidays,152
2021 holiday calendar,leave.list_of_public_holidays,152
2021 staff promotion additional interest rate,iprivileges.dbs_staff_promotion,105
24th december half day,leave.leave_guidelines,150
24th december,general_benefits.festive_early_release,47
26 june 1 july ot showing jul payslip,payroll.when_will_i_get_my_pay,283
3 tenet reward philosophy,compensation.what_is_dbs_rewards_philosophy,14
3 tenet,compensation.what_is_dbs_rewards_philosophy,14
